mentor_id,name,teaching_style,subject_expertise,availability,semester,patience_score
M175,Mentor_175,Read-Write,Calculus,Fri_Morning|Sat_Evening|Thu_Evening|Thu_Morning|Tue_Afternoon|Tue_Morning|Wed_Afternoon,7,3.6
M176,Mentor_176,Read-Write,Java|Database Systems,Fri_Morning|Sat_Afternoon|Sat_Evening,6,4.9
M177,Mentor_177,Visual,Database Systems,Fri_Evening|Mon_Evening|Thu_Afternoon|Thu_Evening|Tue_Afternoon,7,3.4
M178,Mentor_178,Auditory,Database Systems|Java|Statistics,Mon_Afternoon|Sat_Evening|Wed_Afternoon,8,3.5
M179,Mentor_179,Visual,Data Structures,Fri_Morning|Mon_Evening|Sat_Evening|Sat_Morning|Thu_Afternoon|Tue_Morning,4,4.9
M180,Mentor_180,Kinesthetic,Computer Networks,Mon_Morning|Sat_Morning|Thu_Afternoon|Thu_Morning|Tue_Afternoon|Wed_Morning,4,4.3
M181,Mentor_181,Visual,Java,Fri_Afternoon|Mon_Afternoon|Sat_Evening|Tue_Evening,7,4.6
M182,Mentor_182,Visual,Database Systems,Thu_Afternoon|Thu_Morning|Tue_Morning,6,3.9
M183,Mentor_183,Auditory,Java|Statistics|Python,Fri_Evening|Fri_Morning|Mon_Afternoon|Mon_Evening|Tue_Evening|Wed_Evening|Wed_Morning,7,4.3
M184,Mentor_184,Read-Write,Web Development|Data Structures|Operating Systems,Fri_Afternoon|Fri_Morning|Sat_Afternoon|Sat_Evening|Tue_Evening|Wed_Evening|Wed_Morning,4,3.8
M185,Mentor_185,Auditory,Web Development,Mon_Morning|Thu_Afternoon|Tue_Afternoon|Tue_Morning|Wed_Afternoon|Wed_Morning,7,4.5
M186,Mentor_186,Read-Write,Database Systems|Data Structures,Mon_Afternoon|Mon_Evening|Sat_Afternoon|Sat_Morning|Thu_Afternoon|Thu_Evening|Tue_Afternoon|Wed_Afternoon,7,4.4
M187,Mentor_187,Read-Write,Database Systems|Machine Learning|Statistics,Fri_Evening|Mon_Evening|Sat_Afternoon|Sat_Evening|Thu_Evening|Tue_Afternoon|Wed_Afternoon,8,3.7
M188,Mentor_188,Auditory,Java|Python|Calculus,Fri_Evening|Mon_Afternoon|Mon_Evening|Sat_Afternoon|Thu_Evening|Thu_Morning|Tue_Evening|Wed_Evening,4,3.1
M189,Mentor_189,Auditory,Java|Calculus|Web Development,Fri_Evening|Sat_Afternoon|Sat_Morning|Thu_Afternoon|Tue_Morning,8,4.0
M190,Mentor_190,Auditory,Python|Data Structures|Statistics,Fri_Afternoon|Fri_Evening|Mon_Afternoon|Thu_Afternoon|Tue_Afternoon|Wed_Afternoon|Wed_Evening,4,3.8
M191,Mentor_191,Visual,Calculus,Fri_Afternoon|Mon_Evening|Thu_Evening,8,5.0
M192,Mentor_192,Visual,Python,Fri_Afternoon|Fri_Morning|Thu_Afternoon|Tue_Afternoon|Tue_Evening,7,3.7
M193,Mentor_193,Kinesthetic,Python|Computer Networks,Sat_Evening|Thu_Evening|Tue_Afternoon,4,3.4
M194,Mentor_194,Auditory,Computer Networks|Java|Web Development,Fri_Evening|Mon_Morning|Thu_Morning,8,3.8
M195,Mentor_195,Kinesthetic,Calculus|Statistics,Fri_Evening|Thu_Evening|Tue_Afternoon|Wed_Evening|Wed_Morning,4,3.1
M196,Mentor_196,Auditory,Computer Networks|Data Structures|Calculus,Fri_Evening|Mon_Afternoon|Tue_Morning,8,4.3
M197,Mentor_197,Visual,Calculus,Fri_Afternoon|Fri_Evening|Fri_Morning|Sat_Evening|Wed_Afternoon|Wed_Morning,4,3.3
M198,Mentor_198,Read-Write,Calculus|Operating Systems,Thu_Morning|Tue_Afternoon|Wed_Afternoon|Wed_Morning,6,3.6
M199,Mentor_199,Kinesthetic,Statistics|Web Development|Computer Networks,Fri_Morning|Thu_Afternoon|Thu_Evening,7,3.8
M200,Mentor_200,Kinesthetic,Computer Networks|Web Development,Fri_Morning|Thu_Morning|Tue_Afternoon|Wed_Afternoon,7,4.8
